address;mail;title
167 RUE DE BERCY 75012 PARIS ;ce.0750609E@ac-paris.fr;Collège d'enseignement général PAUL VERLAINE
38  BD SOULT 75012 PARIS ;ce.0752537A@ac-paris.fr;Collège d'enseignement général PAUL VALERY
24 RUE LE VAU 75020 PARIS ;ce.0752198G@ac-paris.fr;Collège d'enseignement général PIERRE MENDES FRANCE
149 AVENUE GAMBETTA 75020 PARIS ;ce.0752696Y@ac-paris.fr;Collège d'enseignement général LEON GAMBETTA
158 QUAI DE JEMMAPES 75010 PARIS ;ce.0753047E@ac-paris.fr;Collège d'enseignement général LA GRANGE AUX BELLES
20  RUE DE LA BRECHE AUX LOUPS 75012 PARIS ;ce.0750610F@ac-paris.fr;Collège d'enseignement général JULES VERNE
15  RUE MONTGOLFIER 75003 PARIS ;ce.0752523K@ac-paris.fr;Collège d'enseignement général MONTGOLFIER
21  RUE DE REUILLY 75012 PARIS ;ce.0752542F@ac-paris.fr;Collège d'enseignement général JEAN-FRANCOIS OEBEN
6 RUE MOLIERE 75001 PARIS ;ce.0751703U@ac-paris.fr;Collège d'enseignement général JEAN-BAPTISTE POQUELIN
26 RUE HENRI CHEVREAU 75020 PARIS ;ce.0750478M@ac-paris.fr;Collège d'enseignement général JEAN-BAPTISTE CLEMENT
89 COURS DE VINCENNES 75020 PARIS ;ce.0752557X@ac-paris.fr;Collège d'enseignement général MAURICE RAVEL
40 RUE DES PYRENEES 75020 PARIS ;ce.0750550R@ac-paris.fr;Collège d'enseignement général LUCIE FAURE
62 RUE DE LA FONTAINE AU ROI 75011 PARIS ;ce.0750465Y@ac-paris.fr;Collège d'enseignement général LUCIE ET RAYMOND AUBRAC
11 RUE JEAN POULMARCH 75010 PARIS ;ce.0752251P@ac-paris.fr;Collège d'enseignement général LOUISE MICHEL
6 RUE EUGENE REISZ 75020 PARIS ;ce.0753939Z@ac-paris.fr;Collège d'enseignement général JEAN PERRIN
3 RUE VITRUVE 75020 PARIS ;ce.0750591K@ac-paris.fr;Collège d'enseignement général HENRI MATISSE
49 RUE BOBILLOT 75013 PARIS ;;Section d'enseignement professionnel privé NOTRE-DAME -ST VINCENT DE PAUL
92 RUE DE VAUGIRARD 75006 PARIS ;ce.0754915K@ac-paris.fr;Section d'enseignement professionnel privé LPO PRIVE SAINT-NICOLAS
44 BOULEVARD AUGUSTE BLANQUI 75013 PARIS ;ce.0754919P@ac-paris.fr;Section d'enseignement professionnel privé LPO PRIVE LE REBOURS
40 RUE LA FONTAINE 75016 PARIS ;ce.0754921S@ac-paris.fr;Section d'enseignement professionnel privé LPO PRIVE SAINTE-THERESE
40 RUE LA FONTAINE 75016 PARIS ;ce.0753217P@ac-paris.fr;Lycée polyvalent privé SAINTE-THERESE
2 RUE D OLIVET 75007 PARIS ;ce.0754917M@ac-paris.fr;Section d'enseignement professionnel privé LPO PRIVE ALBERT DE MUN
2 RUE D OLIVET 75007 PARIS ;ce.0754030Y@ac-paris.fr;Lycée polyvalent privé ALBERT DE MUN
117 AVENUE VICTOR HUGO 75016 PARIS ;ce.0754666P@ac-paris.fr;Lycée général et technologique privé PASSY-SAINT-HONORE
8  RUE MAURICE DE LA SIZERANNE 75007 PARIS ;ce.0753852E@ac-paris.fr;Lycée général et technologique privé SAINTE-JEANNE ELISABETH
44 RUE DE GRENELLE 75007 PARIS ;ce.0753850C@ac-paris.fr;Lycée général privé SAINT-THOMAS D'AQUIN
12 RUE BENJAMIN FRANKLIN 75016 PARIS ;ce.0753933T@ac-paris.fr;Lycée général privé SAINT-LOUIS DE GONZAGUE
52 RUE VANEAU 75007 PARIS ;ce.0754860A@ac-paris.fr;Lycée général privé THERESE CHAPPUIS
112 RUE DE LOURMEL 75015 PARIS ;ce.0753916Z@ac-paris.fr;Lycée général privé SAINTE-ELISABETH
33 BOULEVARD LANNES 75016 PARIS ;ce.0753919C@ac-paris.fr;Lycée général privé PASCAL
12 RUE MICHEL ANGE 75016 PARIS ;ce.0753946G@ac-paris.fr;Lycée général privé NOTRE-DAME DES OISEAUX
72 RUE RAYNOUARD 75016 PARIS ;ce.0753947H@ac-paris.fr;Lycée général privé SAINT-JEAN DE PASSY
118 RUE DE GRENELLE 75007 PARIS ;ce.0753809H@ac-paris.fr;Lycée général privé PAUL CLAUDEL
86 RUE DE LA TOUR 75016 PARIS ;ce.0753943D@ac-paris.fr;Lycée général privé LA TOUR
90 BIS RUE SAINT DOMINIQUE 75007 PARIS ;ce.0753851D@ac-paris.fr;Lycée général privé LA ROCHEFOUCAULD
6 RUE DE LUBECK 75016 PARIS ;ce.0753948J@ac-paris.fr;Lycée général privé L'ASSOMPTION
12 AVENUE BOSQUET 75007 PARIS ;ce.0753849B@ac-paris.fr;Lycée général privé L'ALMA
31 RUE DE LA POMPE 75016 PARIS ;ce.0753941B@ac-paris.fr;Lycée général privé GERSON
70 RUE DU THEATRE 75015 PARIS ;ce.0753874D@ac-paris.fr;Lycée général privé ECOLE ACTIVE BILINGUE J.MANUEL
21 RUE DE VARENNE 75007 PARIS ;ce.0753848A@ac-paris.fr;Lycée général privé D'HULST
5 RUE BLOMET 75015 PARIS ;ce.0753915Y@ac-paris.fr;Lycée général privé BLOMET
70 RUE CHARDON LAGACHE 75016 PARIS ;;École technologique privée ECOLE TECHNIQUE PRIVEE AKIBA
56 RUE DE PASSY 75016 PARIS ;;École secondaire privée KINGSWORTH INTERNATIONALSCHOOL
50 RUE CASTAGNARY 75015 PARIS ;;École secondaire privée GEORGES GUSDORF
44 RUE LA QUINTINIE 75015 PARIS ;;École du 2nd degré professionnel privée PIGIER CREATION
17 AVENUE FELIX FAURE 75015 PARIS ;eppg@free.fr;École du 2nd degré général privée L'ENSEIGN PAR PETITS GROUPES
24 RUE INGENIEUR ROBERT KELLER 75015 PARIS ;ecole-maigret@wanadoo.fr;École du 2nd degré général privée L'ECOLE
56 RUE DE PASSY 75016 PARIS ;;École du 2nd degré général privée KINGSWORTH INTERNATIONALSCHOOL
1 AVENUE ALPHAND 75016 PARIS ;;École du 2nd degré général privée INSTITUT PR DU CLG LATIN
50 RUE CASTAGNARY 75015 PARIS ;;École du 2nd degré général privée GEORGES GUSDORF
8 RUE BENJAMIN GODARD 75016 PARIS ;secretariat.ipecom@wanadoo.fr;École du 2nd degré général privée IPECOM PREPA SCIENCES
6 RUE BEETHOVEN 75016 PARIS ;ce.0752803P@ac-paris.fr;École du 2nd degré général privée INTERNATIONAL SCHOOL OF PARIS
10 AVENUE DE LA BOURDONNAIS 75007 PARIS ;ce.0753859M@ac-paris.fr;École du 2nd degré général privée FIDES
70  RUE CHARDON LAGACHE 75016 PARIS ;;École du 2nd degré général privée ECOLE PRIVEE AKIBA
87 AVENUE DE LA BOURDONNAIS 75007 PARIS ;info@admsa.com;École du 2nd degré général privée ECOLE DU CHAMP DE MARS
23 BOULEVARD BEAUSEJOUR 75016 PARIS ;beausejour@noos.fr;École du 2nd degré général privée BEAUSEJOUR
52 RUE VANEAU 75007 PARIS ;ce.0753854G@ac-paris.fr;Collège d'enseignement général privé THERESE CHAPPUIS
8 RUE MAURICE DE LA SIZERANNE 75007 PARIS ;ce.0752894N@ac-paris.fr;Collège d'enseignement général privé SAINTE-JEANNE ELISABETH
112 RUE DE LOURMEL 75015 PARIS ;ce.0752901W@ac-paris.fr;Collège d'enseignement général privé SAINTE-ELISABETH
12 RUE BENJAMIN FRANKLIN 75016 PARIS ;ce.0752917N@ac-paris.fr;Collège d'enseignement général privé SAINT-LOUIS DE GONZAGUE
13 PLACE ETIENNE PERNET 75015 PARIS ;ce.0753992G@ac-paris.fr;Collège d'enseignement général privé SAINT-JOSEPH
72 RUE RAYNOUARD 75016 PARIS ;ce.0752870M@ac-paris.fr;Collège d'enseignement général privé SAINT-JEAN DE PASSY
66 AVENUE RAYMOND POINCARE 75016 PARIS ;ce.0753996L@ac-paris.fr;Collège d'enseignement général privé SAINT-HONORE D'EYLAU
33 BOULEVARD LANNES 75016 PARIS ;ce.0752919R@ac-paris.fr;Collège d'enseignement général privé PASCAL
118 RUE DE GRENELLE 75007 PARIS ;ce.0752882A@ac-paris.fr;Collège d'enseignement général privé PAUL CLAUDEL
12 RUE MICHEL ANGE 75016 PARIS ;ce.0752918P@ac-paris.fr;Collège d'enseignement général privé NOTRE-DAME DES OISEAUX
86 RUE DE LA TOUR 75016 PARIS ;ce.0752897S@ac-paris.fr;Collège d'enseignement général privé LA TOUR
90 BIS RUE SAINT DOMINIQUE 75007 PARIS ;ce.0752899U@ac-paris.fr;Collège d'enseignement général privé LA ROCHEFOUCAULD
12 AVENUE BOSQUET 75007 PARIS ;ce.0752912H@ac-paris.fr;Collège d'enseignement général privé L'ALMA
6 RUE DE LUBECK 75016 PARIS ;ce.0752936J@ac-paris.fr;Collège d'enseignement général privé L'ASSOMPTION
70 RUE DU THEATRE 75015 PARIS ;ce.0752935H@ac-paris.fr;Collège d'enseignement général privé ECOLE ACTIVE BILINGUE J.MANUEL
31 RUE DE LA POMPE 75016 PARIS ;ce.0752926Y@ac-paris.fr;Collège d'enseignement général privé GERSON
21 RUE DE VARENNE 75007 PARIS ;ce.0752914K@ac-paris.fr;Collège d'enseignement général privé D'HULST
5 RUE BLOMET 75015 PARIS ;ce.0752843H@ac-paris.fr;Collège d'enseignement général privé BLOMET
